Device ID,Location,City,State,Zip Code,Display Name,Machine ID,Tags,Mobile (#),Mobile (%),Mobile,Cash,Card,Total,Fee,Discounts,Loyalty,Promotions (!),Net
10007004,"Teacher Mailroom
3225 Lockwood Boulevard
Oviedo
FL
32765
",Oviedo,FL,32765,Hagerty HS Teacher Mailroom - Snack # 14,2158,promo,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
10020973,"""
2500 Maitland Center Parkway, Suite # 5
Maitland
FL
32751
""",Maitland,FL,32751,IH eart Media 3rd Fl - Pepsi Machine,3055,promo,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
10020974,"Outside Cafe Bldg 5 Coke
3225 Lockwood Boulevard
Oviedo
FL
32765
",Oviedo,FL,32765,Hagerty HS Coke # 11,2160,promo,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
10020975,"
3225 Lockwood Boulevard
Oviedo
FL
32765
",Oviedo,FL,32765,Hagerty HS Teacher Cafe Coke # 7,2112,promo,2,50,$2.50 ,$2.50 ,$0.00 ,$5.00 ,$0.10 ,$0.00 ,$0.00 ,$0.00 ,$2.40 
10020976,"
FL
32750
",,FL,32750,Warehouse- Snack Machine,,promo,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
10020977,"United Baggage Area
1 Jeff Fuqua Blvd
Orlando
FL
32827
",Orlando,FL,32827,United Baggage - Pepsi,2138,promo,12,15.24,$16.00 ,$89.00 ,$0.00 ,$105.00 ,$0.64 ,$0.00 ,$0.00 ,$0.00 ,$15.36 
10020978,"Hagerty HS Gym Bldg 4 Coke
3225 Lockwood Boulevard
Oviedo
FL
32765
",Oviedo,FL,32765,Hagerty HS Coke # 12,2176,promo,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
10020979,"Teaher Mail Rm Coke
3225 Lockwood Boulevard
Oviedo
FL
32765
",Oviedo,FL,32765,Hagerty HS Coke # 15,2166,promo,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
10020980,"Outside Cafe Bldg 5 Pepsi
3225 Lockwood Boulevard
Oviedo
FL
32765
",Oviedo,FL,32765,Hagerty HS Pepsi # 5,# 5,promo,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
10020981,"Hagerty HS # 7
3225 Lockwood Boulevard
Oviedo
FL
32765
",Oviedo,FL,32765,Hagerty HS - Pepsi # 7,2186,promo,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
